School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Boulder Creek High School,"Anthem, AZ",85086,2456,45,25:1,95,Yes,Yes,4,TRUE,77.14,1.56,14.61,-,-,Yes,A,9
Great Hearts Academies - Anthem Prep,"Anthem, AZ",85086,196,75,-,100,Yes,Yes,-,TRUE,66.86,8.36,15.26,467,559,Yes,A,25
West-mec - Boulder Creek High School,"Anthem, AZ",85086,4,-,-1:1,-,Yes,Yes,-,TRUE,25,0,75,4,0,No,-,-
Agua Fria High School,"Avondale, AZ",85323,1608,83,17:1,92,Yes,Yes,27,TRUE,12.16,1.88,71.69,805,822,Yes,B,14
Arizona Agribusiness & Equine Center - Estrella,"Avondale, AZ",85338,-,104,-,-,Yes,Yes,-,FALSE,33.49,6.07,50.73,161,228,No,A,7
E-institute At Avondale,"Avondale, AZ",85338,99,-,-,16,Yes,Yes,-,TRUE,-,-,-,-,-,Yes,-,-
Estrella High School,"Avondale, AZ",85338,162,-,-,7,Yes,Yes,43,TRUE,-,-,69.64,68,63,No,B,6
La Joya Community High School,"Avondale, AZ",85338,2059,189,24:1,79,Yes,Yes,22,TRUE,4.72,-,81.52,1129,1066,Yes,B,18
West-mec - Agua Fria High School,"Avondale, AZ",85338,3,-,-1:1,-,Yes,Yes,-,FALSE,33,0,67,1,2,No,-,-
West-mec - La Joya High School,"Avondale, AZ",85338,5,-,-1:1,-,Yes,Yes,-,FALSE,0,0,60,7,1,No,-,-
West-mec - West View High School,"Avondale, AZ",85338,10,-,-1:1,-,Yes,Yes,-,TRUE,20,0,40,5,5,No,-,-
Westview High School,"Avondale, AZ",85338,1843,165,21:1,84,Yes,Yes,22,FALSE,9.28,2.31,70.6,-,-,Yes,B,
Aspc - Lewis,"Buckeye, AZ",85338,-,-,-,-,Yes,Yes,-,TRUE,-,-,-,-,-,No,-,-
Buckeye Union High School,"Buckeye, AZ",85338,1718,191,19:1,90,Yes,Yes,20,FALSE,23.68,-,65.47,849,980,Yes,B,8
E-institute At Buckeye,"Buckeye, AZ",85338,88,-,-,14,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Odyssey Institute For Advanced And International Studies,"Buckeye, AZ",85338,833,110,-,98,Yes,Yes,-,TRUE,42.91,-,42.79,793,837,No,B,27
Skyview High School,"Buckeye, AZ",85338,163,-,-,29,Yes,Yes,29,FALSE,23.56,-,60.34,70,65,Yes,B,6
Verrado High School,"Buckeye, AZ",85338,1715,79,21:1,96,Yes,Yes,7,FALSE,40.72,1.94,46.55,1058,912,Yes,A,5
West-mec - Buckeye Union High School,"Buckeye, AZ",85338,15,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
West-mec - Verrado High School,"Buckeye, AZ",85338,-,-,-,-,Yes,Yes,-,TRUE,-,-,-,-,-,No,-,-
West-mec - Youngker High School,"Buckeye, AZ",85338,24,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,No,-,-
