School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
South Valley Junior High School,"Gilbert, AZ",85298,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Apollo High School,"Glendale, AZ",85302,2157,84,24:1,90,Yes,Yes,26,FALSE,12.19,4,71.97,1154,1069,No,B,2
Arrowhead Christian Academy,"Glendale, AZ",85306,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Cactus High School,"Glendale, AZ",85302,1170,140,19:1,95,Yes,Yes,19,FALSE,50.17,2.45,35.23,560,487,Yes,A,11
Children's Center For Neurodevelopmental Studies,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Copper Canyon High School,"Glendale, AZ",85302,2195,159,24:1,89,Yes,Yes,23,FALSE,4.64,NULL,86.23,1097,1072,Yes,B,21
Deer Valley Academy,"Glendale, AZ",85302,6,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,44,NULL,NULL,NULL,NULL,Yes,NULL,0
Deer Valley High School,"Glendale, AZ",85302,1568,109,10:1,89,Yes,Yes,17,FALSE,53.06,2.08,32.13,865,833,Yes,A,NULL
Desert Heights Preparatory Academy,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,14.7,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Desert Sky Middle School,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,38.84,2.76,46.98,326,321,Yes,B,14
E-institute At Grovers,"Glendale, AZ",85302,9,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
E-institute At Taylion,"Glendale, AZ",85302,231,NULL,NULL,12,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Gary K. Herberger Young Scholars Academy,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Glendale High School,"Glendale, AZ",85301,1846,102,22:1,87,Yes,Yes,34,FALSE,8.59,2.26,75.72,945,872,Yes,B,5
Hillcrest Middle School,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,76.17,3.34,13.7,438,416,Yes,A,9
Hope High School Online,"Glendale, AZ",85302,511,NULL,NULL,23,Yes,Yes,NULL,FALSE,47.42,NULL,38.2,163,228,No,NULL,0
Independence High School,"Glendale, AZ",85303,2081,61,23:1,90,Yes,Yes,23,FALSE,8.13,3.87,78.59,1052,997,Yes,B,8
Intelli-school Glendale,"Glendale, AZ",85302,62,NULL,NULL,15,Yes,Yes,NULL,FALSE,59.26,NULL,27.78,26,25,No,B,1
Ironwood High School,"Glendale, AZ",85302,1904,94,21:1,95,Yes,Yes,NULL,FALSE,39.33,4.37,42.92,970,915,Yes,A,9
Jefferson Preparatory High School,"Glendale, AZ",85306,113,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,57.9,NULL,NULL,28,33,No,A,NULL
Life Development Institute,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Mountain Ridge High School,"Glendale, AZ",85310,2685,28,25:1,96,Yes,Yes,NULL,FALSE,67.44,12.24,13,1419,1370,Yes,A,11
Ombudsman - Charter West,"Glendale, AZ",85306,90,NULL,NULL,33,Yes,Yes,NULL,FALSE,50,NULL,33.05,68,56,No,B,
Raymond S. Kellis,"Glendale, AZ",85308,"1,802",126,21:1,93,Yes,Yes,NULL,FALSE,23.38,4.29,58.03,849,852,Yes,B,25
Sandra Day O'connor High School,"Glendale, AZ",85308,"2,534",41,22:1,98,Yes,Yes,5,FALSE,73.73,5.77,13.68,1331,1273,Yes,A,15
Sunflower School,"Glendale, AZ",85301,11,NULL,6:1,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,50,NULL,NULL,Yes,NULL,0
Vision Christian Academy,"Glendale, AZ",85308,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
